年別,性別,所得收入者人數,[一]所得收入總計[NT],1.受僱人員報酬[NT],[1]本業薪資[NT],[2]兼業薪資[NT],[3]其他收入[NT],2.產業主所得[NT],[1]農業淨收入[NT],[2]營業淨收入[NT],[3]執行業務淨收入[NT],3.財產所得收入[NT],4.自用住宅設算租金收入[NT],5.經常移轉收入[NT],[1]從私人[NT],[2]從政府[NT],[3]社會保險受益[NT],[4]從企業[NT],[5]從國外[NT],6.雜項收入[NT],[二]非消費支出[NT],1.利息支出[NT],2.經常移轉支出[NT],[1]對私人[NT],[2]對政府[NT],[3]社會保險[NT],[4]對國外[NT],[三]可支配所得[NT]
98年,總平均,1572205,874274,523023,384362,35379,103282,102789,34,95400,7354,68993,65245,114090,65147,18641,28518,1133,651,135,151706,13059,138647,48998,31606,53520,4523,722568
98年,男,899178,986285,553250,402699,38329,112222,145111,59,135575,9477,85025,83108,119643,70317,20035,28552,710,28,148,179450,16553,162896,57840,43231,56613,5212,806835
98年,女,673028,724626,482640,359864,31439,91338,46244,-,41726,4519,47573,41379,106671,58240,16777,28472,1698,1484,118,114639,8389,106250,37185,16075,49388,3602,609987
99年,總平均,1630686,884546,541638,393629,34817,113192,93450,1219,84815,7416,67347,65428,116462,70219,16253,28189,746,1055,220,143433,13378,130054,38729,30381,59330,1614,741113
99年,男,924013,997286,574371,411193,39365,123813,128760,2030,114567,12163,80225,87706,125945,76969,18446,28558,1070,902,279,167731,17903,149829,44324,41160,62330,2015,829555
99年,女,706673,737131,498838,370662,28871,99305,47282,159,45913,1209,50509,36298,104062,61393,13387,27706,322,1256,143,111661,7463,104198,31412,16289,55407,1090,625470
100年,總平均,1683116,857732,547253,392977,36021,118256,85470,315,85155,-,69402,63649,91824,42707,16354,31855,471,437,133,153708,11789,141919,39357,38754,60991,2817,704024
100年,男,945191,966208,592769,416253,41609,134907,109935,338,109597,-,83597,82768,96993,46148,17881,32335,433,197,146,187593,16351,171242,46085,56237,64988,3933,778615
100年,女,737924,718787,488953,363163,28862,96928,54135,287,53848,-,51220,39161,85202,38299,14398,31240,519,745,116,110306,5946,104360,30740,16361,55871,1388,608481
101年,總平均,1721248,870874,553245,400942,41329,110974,99158,499,98659,-,62092,57484,98819,47105,16212,34707,425,369,76,156250,9974,146276,47444,35218,61665,1950,714623
101年,男,960000,977811,588418,423614,45607,119197,138179,895,137284,-,76943,72786,101403,47592,17763,35563,400,86,81,184141,12568,171573,55669,49040,64788,2076,793670
101年,女,761248,736016,508889,372351,35935,100603,49949,-,49949,-,43364,38186,95560,46491,14258,33628,457,726,69,121078,6703,114376,37073,17787,57726,1790,614938
102年,總平均,1728211,865669,531453,385983,37626,107844,111207,256,110951,-,54550,57738,110620,51098,16946,40565,453,1558,102,143556,10120,133436,38437,29549,63984,1467,722113
102年,男,988203,994317,577601,411311,45741,120550,158795,448,158347,-,73156,72360,112291,51573,18252,41417,378,671,114,172768,13379,159389,46898,41171,70046,1274,821549
102年,女,740008,693874,469827,352162,26789,90876,47658,-,47658,-,29705,38210,108388,50463,15203,39427,552,2743,86,104546,5768,98778,27137,14029,55889,1724,589327
103年,總平均,1757299,881224,565976,410951,36019,119005,93623,510,93113,-,59390,60015,102175,45690,17073,37927,295,1190,46,152657,10741,141916,36406,31008,71509,2993,728568
103年,男,982799,1011683,624983,450542,41382,133060,128831,912,127919,-,75510,78600,103714,47782,16609,38400,205,718,45,183735,14180,169555,42626,44842,77413,4674,827948
103年,女,774500,715679,491099,360714,29215,101170,48945,-,48945,-,38936,36432,100222,43035,17663,37326,409,1789,46,113220,6377,106843,28512,13453,64017,861,602459
104年,總平均,1834589,856909,532544,375280,49060,108204,93432,349,93082,-,61887,56597,112389,52705,18211,40032,619,823,60,140410,8428,131982,32884,29512,67518,2068,716499
104年,男,1002836,972812,572184,398453,54480,119251,138317,639,137679,-,75104,73616,113528,54628,18332,39690,257,620,63,167055,11431,155624,39019,42525,70689,3392,805757
104年,女,831753,717167,484751,347342,42525,94884,39313,-,39313,-,45952,36078,111015,50386,18064,40444,1055,1067,57,108284,4808,103477,25487,13823,63694,472,608882
105年,總平均,1826511,854158,501356,361584,39993,99780,109447,623,108824,-,66829,59705,116777,52768,17378,45817,311,503,45,130481,7042,123439,31821,27815,62677,1126,723678
